rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
27,¹ö³ªµð³ª,KIA,0.312,111,500,433,92,135,18,3,20,219,63,3,1,41,111,98,1.13,6,0.6,3.78,0.194,84.3,0.306
28,·Î¸Æ,SK,0.309,123,538,466,86,144,18,0,39,279,94,0,6,57,85,129,0.66,7,0.52,4.01,0.29,104.8,0.325
29,±èÇå°ï,»ï¼º,0.309,128,542,473,74,146,25,2,10,205,68,4,4,37,150,121,1.24,4,0.87,3.91,0.125,77.6,0.282
30,±èÀçÈ£,µÎ»ê,0.306,117,413,359,67,110,17,0,14,169,62,3,6,31,69,113,0.61,5,0.56,4,0.164,62.5,0.288
31,¹Ú¿ëÅÃ,LG,0.306,129,564,506,89,155,37,1,15,239,76,0,7,53,123,134,0.92,10,0.47,3.92,0.166,80,0.282
32,±è¼±ºó,KIA,0.305,108,417,361,57,110,16,2,3,139,44,5,3,21,124,98,1.27,3,1.25,3.68,0.08,53.5,0.269
33,½Åº»±â,·Ôµ¥,0.303,123,443,393,51,119,27,1,10,178,69,5,5,38,102,94,1.09,5,0.37,3.69,0.15,60,0.277
34,ÀÌ¸í±â,KIA,0.303,108,453,403,79,122,25,6,4,171,41,10,1,35,142,84,1.69,2,0.64,3.82,0.122,60.1,0.269
35,¹Îº´Çå,·Ôµ¥,0.302,97,403,361,58,109,17,0,14,168,52,2,5,31,97,105,0.92,6,0.55,3.52,0.163,59.1,0.278
36,ÀÌ¼º¿­,ÇÑÈ­,0.3,115,465,426,66,128,21,1,28,235,86,1,2,50,100,70,1.43,8,0.24,3.87,0.251,76.7,0.297
36,ÀÌ¿ø¼®,»ï¼º,0.3,115,485,426,67,128,28,0,16,204,76,0,4,44,91,120,0.76,3,0.54,4.09,0.178,74.5,0.289
38,±èÇÏ¼º,³Ø¼¾,0.298,117,526,466,90,139,26,4,19,230,77,1,5,49,88,175,0.5,13,0.72,3.92,0.195,80.9,0.289
39,À¯°­³²,LG,0.298,118,414,379,50,113,29,0,19,199,59,2,1,48,100,96,1.04,2,0.32,3.76,0.227,60.1,0.29
40,È²Àç±Õ,KT,0.296,125,512,463,66,137,35,3,23,247,78,1,3,61,66,159,0.42,6,0.39,3.99,0.238,85.1,0.293
41,³ëÁøÇõ,NC,0.293,112,409,375,50,110,20,4,9,165,36,1,2,33,94,95,0.99,4,0.37,3.73,0.147,54,0.266
42,¹ÚÇØ¹Î,»ï¼º,0.291,130,579,516,100,150,25,9,7,214,54,8,4,41,140,143,0.98,6,0.55,4.07,0.124,76.8,0.262
43,ÀÌ¿ë±Ô,ÇÑÈ­,0.289,118,513,436,75,126,11,1,0,139,27,7,4,12,146,110,1.33,2,0.95,4.06,0.03,60.7,0.25
44,±è¹Î¼º,³Ø¼¾,0.287,116,418,369,43,106,20,0,10,156,42,1,5,30,65,133,0.49,3,0.54,4.06,0.136,57.1,0.266
45,¿ÀÁöÈ¯,LG,0.285,130,557,480,89,137,25,2,11,199,66,10,5,38,104,112,0.93,6,0.43,4.04,0.129,74.5,0.268
46,À±¼®¹Î,KT,0.281,117,459,413,54,116,21,0,18,191,53,2,3,39,118,116,1.02,2,0.56,3.79,0.182,62.3,0.27
47,°­¹éÈ£,KT,0.281,121,500,449,88,126,27,2,22,223,65,0,3,51,102,116,0.88,3,0.42,4.01,0.216,76,0.281
48,±è¼ºÇö,SK,0.281,118,403,360,48,101,17,1,4,132,50,5,3,22,107,120,0.89,8,0.77,3.47,0.086,41.4,0.246
49,ÇÑµ¿¹Î,SK,0.28,118,488,421,82,118,27,0,34,247,102,0,8,61,84,124,0.68,13,0.46,4.14,0.306,87.9,0.31
50,¿ÀÀçÀÏ,µÎ»ê,0.275,106,409,345,59,95,15,2,23,183,66,0,8,40,48,104,0.46,5,0.47,4.04,0.255,71.5,0.299
51,±èÇý¼º,³Ø¼¾,0.275,125,452,411,75,113,15,6,5,155,45,3,2,26,101,84,1.2,2,0.27,3.84,0.102,54.4,0.244
52,¹øÁî,·Ôµ¥,0.274,114,452,412,75,113,31,5,23,223,63,0,0,59,84,94,0.89,5,0.26,3.78,0.267,71.2,0.287
53,°­¹ÎÈ£,»ï¼º,0.269,117,433,387,45,104,13,0,21,180,67,0,6,34,111,92,1.21,10,0.33,3.68,0.196,59.7,0.266
54,¹Ú°æ¼ö,KT,0.266,122,488,425,62,113,18,0,25,206,67,0,2,43,85,112,0.76,7,0.44,4.22,0.219,71.1,0.282
55,½ºÅ©·°½º,NC,0.26,127,509,446,66,116,32,0,23,217,84,0,3,55,91,115,0.79,4,0.38,3.88,0.226,72.4,0.277
56,±è»ó¼ö,»ï¼º,0.26,108,440,400,55,104,10,1,10,146,45,6,3,21,115,101,1.14,5,0.29,3.96,0.105,43.8,0.231
57,¾ç¼®È¯,LG,0.258,126,460,430,45,111,22,0,20,193,79,1,5,42,92,161,0.57,9,0.25,4.02,0.191,56.7,0.245
58,±èµ¿¿±,SK,0.256,113,420,395,56,101,15,0,26,194,71,1,3,41,91,108,0.84,10,0.17,3.7,0.235,56.6,0.254
59,ÇÏÁÖ¼®,ÇÑÈ­,0.247,125,456,425,60,105,18,3,8,153,47,1,0,29,128,78,1.64,6,0.23,3.71,0.113,42.4,0.224
60,ÃÖÁ¤,SK,0.244,102,434,361,82,88,15,1,32,201,66,0,1,48,55,102,0.54,8,0.42,4.14,0.313,74.5,0.305
