"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","balance"
"38",18,"student","single","unknown","no","no","no","cellular","sep","thu",385,1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes",108
"39",18,"student","single","unknown","no","no","no","cellular","sep","thu",385,1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes",108
"40",18,"student","single","unknown","no","no","no","cellular","sep","thu",385,1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes",348
"41",18,"student","single","unknown","no","no","no","cellular","sep","thu",385,1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes",3
"42",18,"student","single","unknown","no","no","no","cellular","sep","thu",385,1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes",35
"43",18,"student","single","unknown","no","unknown","unknown","cellular","sep","thu",72,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",108
"44",18,"student","single","unknown","no","unknown","unknown","cellular","sep","thu",72,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",438
"45",18,"student","single","unknown","no","unknown","unknown","cellular","sep","thu",72,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",108
"46",18,"student","single","unknown","no","unknown","unknown","cellular","sep","thu",72,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",108
"47",18,"student","single","unknown","no","unknown","unknown","cellular","sep","thu",72,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",348
"48",18,"student","single","unknown","no","unknown","unknown","cellular","sep","thu",72,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",3
"49",18,"student","single","unknown","no","unknown","unknown","cellular","sep","thu",72,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",35
"50",18,"student","single","unknown","no","no","no","telephone","may","wed",110,1,999,2,"failure",-1.8,93.876,-40,0.672,5008.7,"no",108
"51",18,"student","single","unknown","no","no","no","telephone","may","wed",110,1,999,2,"failure",-1.8,93.876,-40,0.672,5008.7,"no",438
"52",18,"student","single","unknown","no","no","no","telephone","may","wed",110,1,999,2,"failure",-1.8,93.876,-40,0.672,5008.7,"no",108
"53",18,"student","single","unknown","no","no","no","telephone","may","wed",110,1,999,2,"failure",-1.8,93.876,-40,0.672,5008.7,"no",108
"54",18,"student","single","unknown","no","no","no","telephone","may","wed",110,1,999,2,"failure",-1.8,93.876,-40,0.672,5008.7,"no",348
"55",18,"student","single","unknown","no","no","no","telephone","may","wed",110,1,999,2,"failure",-1.8,93.876,-40,0.672,5008.7,"no",3
"56",18,"student","single","unknown","no","no","no","telephone","may","wed",110,1,999,2,"failure",-1.8,93.876,-40,0.672,5008.7,"no",35
"57",18,"student","single","unknown","no","yes","no","cellular","aug","wed",561,1,17,2,"failure",-1.7,94.027,-38.3,0.9,4991.6,"yes",108
"58",18,"student","single","unknown","no","yes","no","cellular","aug","wed",561,1,17,2,"failure",-1.7,94.027,-38.3,0.9,4991.6,"yes",438
"59",18,"student","single","unknown","no","yes","no","cellular","aug","wed",561,1,17,2,"failure",-1.7,94.027,-38.3,0.9,4991.6,"yes",108
"60",18,"student","single","unknown","no","yes","no","cellular","aug","wed",561,1,17,2,"failure",-1.7,94.027,-38.3,0.9,4991.6,"yes",108
"61",18,"student","single","unknown","no","yes","no","cellular","aug","wed",561,1,17,2,"failure",-1.7,94.027,-38.3,0.9,4991.6,"yes",348
"62",18,"student","single","unknown","no","yes","no","cellular","aug","wed",561,1,17,2,"failure",-1.7,94.027,-38.3,0.9,4991.6,"yes",3
"63",18,"student","single","unknown","no","yes","no","cellular","aug","wed",561,1,17,2,"failure",-1.7,94.027,-38.3,0.9,4991.6,"yes",35
"64",18,"student","single","unknown","no","yes","no","cellular","aug","wed",253,2,6,1,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",108
"65",18,"student","single","unknown","no","yes","no","cellular","aug","wed",253,2,6,1,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",438
"66",18,"student","single","unknown","no","yes","no","cellular","aug","wed",253,2,6,1,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",108
"67",18,"student","single","unknown","no","yes","no","cellular","aug","wed",253,2,6,1,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",108
"68",18,"student","single","unknown","no","yes","no","cellular","aug","wed",253,2,6,1,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",348
"69",18,"student","single","unknown","no","yes","no","cellular","aug","wed",253,2,6,1,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",3
"70",18,"student","single","unknown","no","yes","no","cellular","aug","wed",253,2,6,1,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes",35
"71",18,"student","single","unknown","no","yes","yes","telephone","aug","wed",297,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no",108
"72",18,"student","single","unknown","no","yes","yes","telephone","aug","wed",297,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no",438
"73",18,"student","single","unknown","no","yes","yes","telephone","aug","wed",297,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no",108
"74",18,"student","single","unknown","no","yes","yes","telephone","aug","wed",297,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no",108
"75",18,"student","single","unknown","no","yes","yes","telephone","aug","wed",297,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no",348
"76",18,"student","single","unknown","no","yes","yes","telephone","aug","wed",297,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no",3
"77",18,"student","single","unknown","no","yes","yes","telephone","aug","wed",297,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no",35
"78",18,"student","single","unknown","no","yes","no","cellular","sep","thu",114,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",108
"79",18,"student","single","unknown","no","yes","no","cellular","sep","thu",114,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",438
"80",18,"student","single","unknown","no","yes","no","cellular","sep","thu",114,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",108
"81",18,"student","single","unknown","no","yes","no","cellular","sep","thu",114,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",108
"82",18,"student","single","unknown","no","yes","no","cellular","sep","thu",114,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",348
"83",18,"student","single","unknown","no","yes","no","cellular","sep","thu",114,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",3
"84",18,"student","single","unknown","no","yes","no","cellular","sep","thu",114,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.809,5017.5,"no",35
"85",18,"student","single","unknown","no","no","no","telephone","sep","tue",401,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"no",108
"86",18,"student","single","unknown","no","no","no","telephone","sep","tue",401,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"no",438
"87",18,"student","single","unknown","no","no","no","telephone","sep","tue",401,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"no",108
"88",18,"student","single","unknown","no","no","no","telephone","sep","tue",401,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"no",108
"89",18,"student","single","unknown","no","no","no","telephone","sep","tue",401,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"no",348
"90",18,"student","single","unknown","no","no","no","telephone","sep","tue",401,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"no",3
"91",18,"student","single","unknown","no","no","no","telephone","sep","tue",401,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"no",35
"92",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",5368
"93",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",60
"94",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"95",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",179
"96",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",27
"97",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",1169
"98",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",779
"99",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"100",19,"student","single","unknown","no","yes","no","cellular","apr","mon",104,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"101",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",5368
"102",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",60
"103",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",0
"104",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",179
"105",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",27
"106",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",1169
"107",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",779
"108",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"109",19,"student","single","unknown","no","yes","no","cellular","apr","mon",205,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"110",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",5368
"111",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",60
"112",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",0
"113",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",179
"114",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",27
"115",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",1169
"116",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",779
"117",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"118",19,"student","single","unknown","no","unknown","unknown","cellular","apr","mon",213,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"119",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",5368
"120",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",60
"121",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",0
"122",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",179
"123",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",27
"124",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",1169
"125",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",779
"126",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"127",19,"student","single","unknown","no","yes","no","cellular","apr","mon",438,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"128",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",5368
"129",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",60
"130",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"131",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",179
"132",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",27
"133",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",1169
"134",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",779
"135",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"136",19,"student","single","unknown","no","yes","yes","cellular","apr","fri",72,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"137",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",5368
"138",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",60
"139",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"140",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",179
"141",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",27
"142",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",1169
"143",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",779
"144",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"145",19,"student","single","unknown","no","yes","no","telephone","apr","fri",1161,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"146",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",5368
"147",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",60
"148",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",0
"149",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",179
"150",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",27
"151",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",1169
"152",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",779
"153",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",108
"154",19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes",108
"155",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",5368
"156",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",60
"157",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",0
"158",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",179
"159",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",27
"160",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",1169
"161",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",779
"162",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"163",19,"student","single","unknown","no","yes","yes","cellular","apr","tue",278,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
"164",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",5368
"165",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",60
"166",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",0
"167",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",179
"168",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",27
"169",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",1169
"170",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",779
"171",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",108
"172",19,"student","single","unknown","no","no","no","cellular","aug","tue",192,1,999,1,"failure",-1.7,94.027,-38.3,0.904,4991.6,"no",108
"173",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",5368
"174",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",60
"175",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"176",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",179
"177",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",27
"178",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",1169
"179",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",779
"180",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"181",19,"student","single","unknown","no","no","no","cellular","apr","fri",108,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",108
"182",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",5368
"183",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",60
"184",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",0
"185",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",179
"186",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",27
"187",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",1169
"188",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",779
"189",19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",108
